KODJAZ;AKRCIS;KODCIS;CHODNOTA;ZKRTEXT;TEXT;ADMPLOD;ADMNEPO
"EN";"KATPOECD";579;"000";"Unidentified";"Unidentified";"01.01.1973";"09.09.9999"
"EN";"KATPOECD";579;"110";"No employees";"No employees";"01.01.1973";"09.09.9999"
"EN";"KATPOECD";579;"120";"1 - 5 employees";"1 - 5 employees";"01.01.1973";"09.09.9999"
"EN";"KATPOECD";579;"130";"6 - 9 employees";"6 - 9 employees";"01.01.1973";"09.09.9999"
"EN";"KATPOECD";579;"210";"10 - 19 employees";"10 - 19 employees";"01.01.1973";"09.09.9999"
"EN";"KATPOECD";579;"220";"20 - 24 employees";"20 - 24 employees";"01.01.1973";"09.09.9999"
"EN";"KATPOECD";579;"230";"25 - 49 employees";"25 - 49 employees";"01.01.1973";"09.09.9999"
"EN";"KATPOECD";579;"240";"50 - 99 employees";"50 - 99 employees";"01.01.1973";"09.09.9999"
"EN";"KATPOECD";579;"310";"100 - 199 employees";"100 - 199 employees";"01.01.1973";"09.09.9999"
"EN";"KATPOECD";579;"320";"200 - 249 employees";"200 - 249 employees";"01.01.1973";"09.09.9999"
"EN";"KATPOECD";579;"330";"250 - 499 employees";"250 - 499 employees";"01.01.1973";"09.09.9999"
"EN";"KATPOECD";579;"340";"500 - 999 employees";"500 - 999 employees";"01.01.1973";"09.09.9999"
"EN";"KATPOECD";579;"410";"1000 - 1499 employees";"1000 - 1499 employees";"01.01.1973";"09.09.9999"
"EN";"KATPOECD";579;"420";"1500 - 1999 employees";"1500 - 1999 employees";"01.01.1973";"09.09.9999"
"EN";"KATPOECD";579;"430";"2000 - 2499 employees";"2000 - 2499 employees";"01.01.1973";"09.09.9999"
"EN";"KATPOECD";579;"440";"2500 - 2999 employees";"2500 - 2999 employees";"01.01.1973";"09.09.9999"
"EN";"KATPOECD";579;"450";"3000 - 3999 employees";"3000 - 3999 employees";"01.01.1973";"09.09.9999"
"EN";"KATPOECD";579;"460";"4000 - 4999 employees";"4000 - 4999 employees";"01.01.1973";"09.09.9999"
"EN";"KATPOECD";579;"470";"5000 - 9999 employees";"5000 - 9999 employees";"01.01.1973";"09.09.9999"
"EN";"KATPOECD";579;"510";"10 000 or more employees";"10 000 or more employees";"01.01.1973";"09.09.9999"

