KODJAZ;AKRCIS;KODCIS;UROVEN;CHODNOTA;ZKRTEXT;TEXT;ADMPLOD;ADMNEPO;NADVAZ
"EN";"CISS_2010";80037;1;"10000";"Total economy";"Total economy";"01.01.2013";"09.09.9999";
"EN";"CISS_2010";80037;2;"11000";"Non-financial corporations";"Non-financial corporations";"01.01.2013";"09.09.9999";"10000"
"EN";"CISS_2010";80037;3;"11000";"Non-financial corporations";"Non-financial corporations";"01.01.2013";"09.09.9999";"11000"
"EN";"CISS_2010";80037;4;"11000";"Non-financial corporations";"Non-financial corporations";"01.01.2013";"09.09.9999";"11000"
"EN";"CISS_2010";80037;5;"11001";"Public non-financial corporations";"Public non-financial corporations";"01.01.2013";"09.09.9999";"11000"
"EN";"CISS_2010";80037;5;"11002";"National private non-financial corporations";"National private non-financial corporations";"01.01.2013";"09.09.9999";"11000"
"EN";"CISS_2010";80037;5;"11003";"Foreign controlled non-financial corporations";"Foreign controlled non-financial corporations";"01.01.2013";"09.09.9999";"11000"
"EN";"CISS_2010";80037;2;"12000";"Financial corporations";"Financial corporations";"01.01.2013";"09.09.9999";"10000"
"EN";"CISS_2010";80037;3;"12100";"Central bank (public)";"Central bank (public)";"01.01.2013";"09.09.9999";"12000"
"EN";"CISS_2010";80037;4;"12100";"Central bank (public)";"Central bank (public)";"01.01.2013";"09.09.9999";"12100"
"EN";"CISS_2010";80037;5;"12100";"Central bank (public)";"Central bank (public)";"01.01.2013";"09.09.9999";"12100"
"EN";"CISS_2010";80037;3;"12200";"Deposit-taking corporations except the central bank";"Deposit-taking corporations except the central bank";"01.01.2013";"09.09.9999";"12000"
"EN";"CISS_2010";80037;4;"12200";"Deposit-taking corporations except the central bank";"Deposit-taking corporations except the central bank";"01.01.2013";"09.09.9999";"12200"
"EN";"CISS_2010";80037;5;"12201";"Deposit-taking corporations except the central bank, public";"Deposit-taking corporations except the central bank, public";"01.01.2013";"09.09.9999";"12200"
"EN";"CISS_2010";80037;5;"12202";"Deposit-taking corporations except the CB, national private";"Deposit-taking corporations except the central bank, national private";"01.01.2013";"09.09.9999";"12200"
"EN";"CISS_2010";80037;5;"12203";"Deposit-taking corporations except the CB, foreign control.";"Deposit-taking corporations except the central bank, under foreign control";"01.01.2013";"09.09.9999";"12200"
"EN";"CISS_2010";80037;3;"12300";"Money market funds";"Money market funds";"01.01.2013";"09.09.9999";"12000"
"EN";"CISS_2010";80037;4;"12300";"Money market funds";"Money market funds";"01.01.2013";"09.09.9999";"12300"
"EN";"CISS_2010";80037;5;"12301";"Money market funds, public";"Money market funds, public";"01.01.2013";"09.09.9999";"12300"
"EN";"CISS_2010";80037;5;"12302";"Money market funds, national private";"Money market funds, national private";"01.01.2013";"09.09.9999";"12300"
"EN";"CISS_2010";80037;5;"12303";"Money market funds, under foreign control";"Money market funds, under foreign control";"01.01.2013";"09.09.9999";"12300"
"EN";"CISS_2010";80037;3;"12400";"Non-MMF investment funds";"Non-MMF investment funds";"01.01.2013";"09.09.9999";"12000"
"EN";"CISS_2010";80037;4;"12400";"Non-MMF investment funds";"Non-MMF investment funds";"01.01.2013";"09.09.9999";"12400"
"EN";"CISS_2010";80037;5;"12401";"Non-MMF investment funds, public";"Non-MMF investment funds, public";"01.01.2013";"09.09.9999";"12400"
"EN";"CISS_2010";80037;5;"12402";"Non-MMF investment funds, national private";"Non-MMF investment funds, national private";"01.01.2013";"09.09.9999";"12400"
"EN";"CISS_2010";80037;5;"12403";"Non-MMF investment funds, under foreign control";"Non-MMF investment funds, under foreign control";"01.01.2013";"09.09.9999";"12400"
"EN";"CISS_2010";80037;3;"12500";"Other financial intermediaries excluding insurance corporati";"Other financial intermediaries excluding insurance corporations and pension funds";"01.01.2013";"09.09.9999";"12000"
"EN";"CISS_2010";80037;4;"12500";"Other fin.intermed., except insur.corporat.and pension funds";"Other financial intermediaries, except insurance corporations and pension funds";"01.01.2013";"09.09.9999";"12500"
"EN";"CISS_2010";80037;5;"12501";"Other financial intermediaries, except IC and PF, public";"Other financial intermediaries, except insurance corporations and pension funds, public";"01.01.2013";"09.09.9999";"12500"
"EN";"CISS_2010";80037;5;"12502";"Other financial intermediaries, except IC and PF, nation.pr.";"Other financial intermediaries, except insurance corporations and pension funds, national private";"01.01.2013";"09.09.9999";"12500"
"EN";"CISS_2010";80037;5;"12503";"Other financial intermediaries, except IC and PF, for.contr.";"Other financial intermediaries, except insurance corporations and pension funds, under foreign control";"01.01.2013";"09.09.9999";"12500"
"EN";"CISS_2010";80037;3;"12600";"Financial auxiliaries";"Financial auxiliaries";"01.01.2013";"09.09.9999";"12000"
"EN";"CISS_2010";80037;4;"12600";"Financial auxiliaries";"Financial auxiliaries";"01.01.2013";"09.09.9999";"12600"
"EN";"CISS_2010";80037;5;"12601";"Financial auxiliaries, public";"Financial auxiliaries, public";"01.01.2013";"09.09.9999";"12600"
"EN";"CISS_2010";80037;5;"12602";"Financial auxiliaries, national private";"Financial auxiliaries, national private";"01.01.2013";"09.09.9999";"12600"
"EN";"CISS_2010";80037;5;"12603";"Financial auxiliaries, under foreign control";"Financial auxiliaries, under foreign control";"01.01.2013";"09.09.9999";"12600"
"EN";"CISS_2010";80037;3;"12700";"Captive financial institutions and money lenders";"Captive financial institutions and money lenders";"01.01.2013";"09.09.9999";"12000"
"EN";"CISS_2010";80037;4;"12700";"Captive financial institutions and money lenders";"Captive financial institutions and money lenders";"01.01.2013";"09.09.9999";"12700"
"EN";"CISS_2010";80037;5;"12701";"Captive financial institutions and money lenders, public";"Captive financial institutions and money lenders, public";"01.01.2013";"09.09.9999";"12700"
"EN";"CISS_2010";80037;5;"12702";"Captive fin. institut. and money lenders, national private";"Captive financial institutions and money lenders, national private";"01.01.2013";"09.09.9999";"12700"
"EN";"CISS_2010";80037;5;"12703";"Captive fin.institut.and money lenders,under foreign control";"Captive financial institutions and money lenders, under foreign control";"01.01.2013";"09.09.9999";"12700"
"EN";"CISS_2010";80037;3;"12800";"Insurance corporations";"Insurance corporations";"01.01.2013";"09.09.9999";"12000"
"EN";"CISS_2010";80037;4;"12800";"Insurance corporations";"Insurance corporations";"01.01.2013";"09.09.9999";"12800"
